% LIQUIDITY FACTORS OF PASTOR AND STAMBAUGH (JPE 2003) UPDATED THROUGH DEC 2023
% Column 1: Month
% Column 2: Levels of aggregated liquidity (Figure 1 in the paper)
% Column 3: Innovations in aggregated liquidity (non-traded liquidity factor; equation(8); the main series)
% Column 4: Traded liquidity factor (LIQ_V, 10-1 portfolio return)
% Note: The traded factor is the value-weighted return on the 10-1 portfolio from a sort on historical
% liquidity betas. This procedure is simpler than sorting on predicted betas (as in the original study)
% and through 2023 it is similarly successful at creating a spread in post-ranking betas. The traded
% factor has a positive and significant alpha through 2023, consistent with liquidity risk being priced.
%
% Month	Agg Liq.	Innov Liq (eq8)	Traded Liq (LIQ_V)
197602	 -0.01850114	  0.05049111	 -0.04225125	
197603	 -0.01869402	  0.00703682	 -0.01797504	
197604	 -0.02836403	 -0.04816120	 -0.01965143	
197605	 -0.09013978	 -0.08662256	 -0.04059278	
197606	 -0.06495230	 -0.02378097	 -0.00572528	
197607	 -0.09137023	 -0.05532443	 -0.02705599	
197608	 -0.01515904	  0.03061700	  0.01794591	
197609	 -0.03775239	  0.01626170	 -0.01542257	
197610	 -0.08540734	 -0.04511173	  0.00385740	
197611	 -0.08199193	 -0.02231675	 -0.02387473	
197612	 -0.02567946	  0.05364359	 -0.01240966	
197701	 -0.06248706	 -0.04668238	 -0.03064272	
197702	 -0.00039705	  0.03595656	 -0.00984019	
197703	 -0.05633423	  0.03099661	  0.01079852	
197704	 -0.01072185	 -0.01088252	 -0.02492795	
197705	 -0.03332456	 -0.01424823	  0.01811865	
197706	 -0.00864341	  0.01659435	  0.02199312	
197707	 -0.04816932	 -0.01419674	  0.00119646	
197708	 -0.04412220	  0.00480498	  0.03132657	
197709	 -0.04748178	 -0.02287519	  0.01051654	
197710	 -0.03260695	 -0.00235983	 -0.01108198	
197711	 -0.01279571	  0.02767470	  0.00253713	
197712	  0.02084873	  0.03467577	 -0.00612393	
197801	 -0.04222258	 -0.00606955	  0.00672525	
197802	 -0.01929822	  0.01289275	  0.00010469	
197803	 -0.01049430	  0.00252448	  0.01720571	
197804	 -0.00780383	  0.01903098	  0.03084663	
197805	  0.01785201	  0.02141760	  0.01378779	
197806	  0.01073519	  0.01388090	  0.01089029	
197807	 -0.04349239	 -0.03529967	  0.03138675	
197808	  0.02096417	  0.03706112	 -0.00088631	
